P15,41,F
Heart Rate
Count;FT0;FT1;FT2;FT3;
1;85.0;85.0;83.0;82.0;
2;99.0;84.0;83.0;82.0;
3;94.0;0.0;82.0;83.0;
4;100.0;0.0;89.0;85.0;
5;94.0;92.0;92.0;87.0;
6;94.0;92.0;93.0;89.0;
7;93.0;92.0;93.0;88.0;
8;94.0;93.0;94.0;91.0;
9;92.0;93.0;93.0;90.0;
10;97.0;93.0;94.0;92.0;
11;91.0;95.0;96.0;92.0;
12;92.0;94.0;95.0;91.0;
13;96.0;94.0;94.0;95.0;
14;95.0;95.0;95.0;95.0;
15;92.0;92.0;91.0;97.0;
16;93.0;93.0;92.0;96.0;
17;95.0;90.0;92.0;95.0;
18;94.0;90.0;93.0;97.0;
19;95.0;89.0;93.0;97.0;
20;97.0;92.0;95.0;92.0;
21;95.0;95.0;93.0;92.0;
22;94.0;95.0;93.0;89.0;
23;97.0;96.0;94.0;92.0;
24;96.0;94.0;96.0;93.0;
25;92.0;93.0;97.0;96.0;
26;92.0;91.0;94.0;95.0;
27;98.0;93.0;95.0;95.0;
28;95.0;96.0;96.0;99.0;
29;96.0;96.0;97.0;97.0;
30;98.0;95.0;96.0;95.0;
31;96.0;95.0;96.0;96.0;
32;100.0;92.0;95.0;94.0;
33;105.0;94.0;96.0;93.0;
34;111.0;96.0;99.0;92.0;
35;104.0;95.0;101.0;92.0;
36;104.0;94.0;95.0;86.0;
37;94.0;95.0;103.0;94.0;
38;95.0;96.0;108.0;86.0;
39;97.0;93.0;110.0;92.0;
40;95.0;95.0;106.0;92.0;
41;97.0;94.0;101.0;88.0;
42;95.0;96.0;101.0;88.0;
43;93.0;95.0;96.0;89.0;
44;93.0;94.0;92.0;91.0;
45;96.0;94.0;94.0;93.0;
46;93.0;0.0;95.0;94.0;
47;93.0;96.0;96.0;98.0;
48;98.0;96.0;93.0;92.0;
49;104.0;98.0;94.0;95.0;
50;103.0;94.0;95.0;101.0;
51;109.0;99.0;99.0;103.0;
52;107.0;100.0;100.0;100.0;
53;107.0;100.0;100.0;100.0;
54;112.0;97.0;105.0;95.0;
55;115.0;96.0;105.0;97.0;
56;126.0;94.0;103.0;95.0;
57;119.0;93.0;103.0;94.0;
58;114.0;95.0;102.0;92.0;
59;110.0;96.0;102.0;88.0;
60;103.0;97.0;88.0;94.0;
61;107.0;103.0;88.0;93.0;
62;117.0;105.0;87.0;91.0;
63;106.0;108.0;93.0;91.0;
64;107.0;105.0;97.0;93.0;
65;109.0;108.0;104.0;99.0;
66;106.0;104.0;103.0;105.0;
67;105.0;105.0;103.0;106.0;
68;103.0;103.0;99.0;107.0;
69;105.0;100.0;94.0;111.0;
70;108.0;101.0;90.0;109.0;
71;113.0;103.0;92.0;112.0;
72;112.0;106.0;89.0;115.0;
73;108.0;107.0;92.0;111.0;
74;105.0;105.0;96.0;109.0;
75;114.0;100.0;98.0;109.0;
76;113.0;107.0;102.0;111.0;
77;117.0;110.0;108.0;109.0;
78;112.0;112.0;109.0;103.0;
79;120.0;112.0;106.0;101.0;
80;121.0;118.0;104.0;94.0;
81;123.0;118.0;110.0;98.0;
82;121.0;118.0;111.0;101.0;
83;120.0;118.0;117.0;103.0;
84;120.0;118.0;117.0;110.0;
85;123.0;116.0;108.0;108.0;
86;130.0;119.0;106.0;113.0;
87;132.0;119.0;107.0;112.0;
88;135.0;124.0;107.0;111.0;
89;133.0;0.0;107.0;110.0;
90;131.0;127.0;105.0;110.0;
91;128.0;126.0;103.0;110.0;
92;131.0;126.0;107.0;107.0;
93;132.0;130.0;109.0;108.0;
94;131.0;131.0;115.0;107.0;
95;126.0;129.0;119.0;112.0;
96;124.0;127.0;113.0;112.0;
97;124.0;126.0;118.0;105.0;
98;124.0;124.0;122.0;108.0;
99;127.0;124.0;123.0;0.0;
100;127.0;127.0;124.0;0.0;
101;129.0;0.0;124.0;0.0;
102;127.0;127.0;125.0;117.0;
103;126.0;127.0;126.0;120.0;
104;128.0;127.0;126.0;0.0;
105;129.0;128.0;127.0;0.0;
